pose,punto,ang optimo,ang medido medio
warrior,"(16, 14, 12)",180,174
warrior,"(11, 13, 15)",180,169
warrior,"(14, 12, 24)",90,11
warrior,"(13, 11, 23)",90,12
warrior,"(12, 24, 26)",140,175
warrior,"(11, 23, 25)",120,179
warrior,"(24, 26, 28)",170,177
warrior,"(23, 25, 27)",120,176
warrior,"(16, 14, 12)",180,175
warrior,"(11, 13, 15)",180,170
warrior,"(14, 12, 24)",90,10
warrior,"(13, 11, 23)",90,12
warrior,"(12, 24, 26)",140,176
warrior,"(11, 23, 25)",120,179
warrior,"(24, 26, 28)",170,177
warrior,"(23, 25, 27)",120,176
warrior,"(16, 14, 12)",180,176
warrior,"(11, 13, 15)",180,169
warrior,"(14, 12, 24)",90,9
warrior,"(13, 11, 23)",90,12
warrior,"(12, 24, 26)",140,176
warrior,"(11, 23, 25)",120,179
warrior,"(24, 26, 28)",170,177
warrior,"(23, 25, 27)",120,176
warrior,"(16, 14, 12)",180,177
warrior,"(11, 13, 15)",180,169
warrior,"(14, 12, 24)",90,9
warrior,"(13, 11, 23)",90,12
warrior,"(12, 24, 26)",140,175
warrior,"(11, 23, 25)",120,179
warrior,"(24, 26, 28)",170,177
warrior,"(23, 25, 27)",120,176
warrior,"(16, 14, 12)",180,177
warrior,"(11, 13, 15)",180,169
warrior,"(14, 12, 24)",90,9
warrior,"(13, 11, 23)",90,12
warrior,"(12, 24, 26)",140,175
warrior,"(11, 23, 25)",120,179
warrior,"(24, 26, 28)",170,177
warrior,"(23, 25, 27)",120,176
warrior,"(16, 14, 12)",180,177
warrior,"(11, 13, 15)",180,169
warrior,"(14, 12, 24)",90,9
warrior,"(13, 11, 23)",90,12
warrior,"(12, 24, 26)",140,175
warrior,"(11, 23, 25)",120,178
warrior,"(24, 26, 28)",170,177
warrior,"(23, 25, 27)",120,176
warrior,"(16, 14, 12)",180,176
warrior,"(11, 13, 15)",180,169
warrior,"(14, 12, 24)",90,9
warrior,"(13, 11, 23)",90,12
warrior,"(12, 24, 26)",140,175
warrior,"(11, 23, 25)",120,178
warrior,"(24, 26, 28)",170,177
warrior,"(23, 25, 27)",120,176
warrior,"(16, 14, 12)",180,175
warrior,"(11, 13, 15)",180,169
warrior,"(14, 12, 24)",90,10
